feature,coefficient,odds_ratio
categorical__distinct_drug_n_bucket_2,-0.0046653355399028495,0.9953455302338862
categorical__occr_country_EG,-0.004679371851212584,0.9953315593522132
categorical__reporter_country_EG,-0.004679371851212584,0.9953315593522132
categorical__reporter_country_LT,-0.004757622323916933,0.9952536772343923
categorical__occr_country_LT,-0.004757622323916933,0.9952536772343923
categorical__rpsr_cod_SDY,-0.004885500038472639,0.9951264146059449
bool__indi_soc_investigations,-0.004978823146777952,0.9950335506490211
categorical__reporter_country_BG,-0.004990294450093792,0.9950221363828206
categorical__reporter_country_IR,-0.005406313119291346,0.9946082746908845
categorical__occr_country_IR,-0.005406313119291346,0.9946082746908845
categorical__reporter_country_EC,-0.005455563220477319,0.994559291338943
bool__zolpidem_as_suspect,-0.0055745291355317195,0.9944409797204375
categorical__reporter_country_HK,-0.005599591443170622,0.9944160570469862
categorical__occr_country_HK,-0.005599591443170622,0.9944160570469862
categorical__rpsr_cod_CSM|FGN|OTH,-0.005753548576791498,0.9942629713858339
categorical__reporter_country_SA,-0.005764256588761853,0.9942523248630363
categorical__occr_country_SA,-0.005764256588761853,0.9942523248630363
categorical__rpsr_cod_HP|SDY,-0.005930542334842601,0.9940870086186523
categorical__rpsr_cod_FGN|LIT,-0.006135755836103587,0.9938830294734088
categorical__reporter_country_IL,-0.006210406235277969,0.9938088384777541
categorical__occr_country_SI,-0.006260034843108924,0.9937595183525051
categorical__reporter_country_SI,-0.006260034843108924,0.9937595183525051
categorical__rpsr_cod_DT|HP,-0.006353984801654468,0.9936661590725705
categorical__reporter_country_GREECE,-0.006397822021475737,0.9936226004654773
categorical__occr_country_IL,-0.007037039005769648,0.9929876629763146
categorical__reporter_country_PH,-0.007108373815905639,0.9929168309163346
categorical__occr_country_BD,-0.007417357767312792,0.9926100829430403
categorical__reporter_country_MY,-0.007579590160854779,0.9924490624951501
categorical__occr_country_PH,-0.007839557993002014,0.9921910911974291
categorical__occr_country_JP,-0.007895884260781826,0.9921352063502448
categorical__occr_country_IN,-0.008299215159726566,0.9917351282529456
categorical__occr_country_MY,-0.00837643537916763,0.991658549205478
categorical__rpsr_cod_FGN|HP|LIT|OTH,-0.008885423259286374,0.991153935454752
categorical__occr_country_TH,-0.008897116474334039,0.9911423457464
categorical__occr_country_LB,-0.008927604034782663,0.9911121286948453
categorical__occr_country_EC,-0.008982162213766283,0.991058056896978
categorical__reporter_country_TH,-0.009130109674803245,0.9909114432195479
categorical__occr_country_BG,-0.009195549564871945,0.9908466002053189
categorical__reporter_country_VENEZUELA,-0.010137378576522645,0.9899138314544358
categorical__reporter_country_SPAIN,-0.010224533995008089,0.9898275588598076
categorical__rpsr_cod_OTH,-0.010936235777600844,0.9891233474456917
categorical__reporter_country_POLAND,-0.011102354614631138,0.9889590490724397
categorical__reporter_country_SK,-0.011665709890826862,0.9884020706772927
categorical__occr_country_SK,-0.011665709890826862,0.9884020706772927
numeric__interacting_drug_n,-0.011693804625258913,0.988374302173681
categorical__reporter_country_ISRAEL,-0.012031760602147137,0.9880403316077119
categorical__reporter_country_AUSTRIA,-0.012899744710452687,0.9871831003868694
categorical__reporter_country_SOUTH AFRICA,-0.01301425836810542,0.9870700609116766
categorical__reporter_country_JP,-0.013085011138508141,0.9870002254408412
categorical__reporter_country_CL,-0.01311891648223566,0.9869667614262461
categorical__reporter_country_SWEDEN,-0.013393727704274964,0.9866955691494737
categorical__reporter_country_NORWAY,-0.013642466077366433,0.9864501706201475
categorical__occr_country_PA,-0.013913167922392139,0.9861831728789557
categorical__reporter_country_HU,-0.013925527484733129,0.9861709841618747
categorical__rpsr_cod_FGN,-0.014210994358551924,0.9858895051923474
categorical__reporter_country_US,-0.014375603110434385,0.9857272325075221
categorical__occr_country_CL,-0.014665478419086503,0.9854415359319443
categorical__reporter_country_PE,-0.014988941667364395,0.9851228333588073
categorical__occr_country_PE,-0.014988941667364395,0.9851228333588073
categorical__rpsr_cod_CR|FGN|HP,-0.01526837326866187,0.9848475973646155
categorical__reporter_country_IRELAND,-0.015461285294211672,0.9846576267441477
categorical__reporter_country_BELGIUM,-0.015518523136072448,0.9846012686795435
numeric__indi_mapped_n,-0.0155240673789143,0.9845958098261401
categorical__occr_country_SG,-0.01564531025200397,0.98447644183773
numeric__indi_n,-0.016014558384692557,0.9841129928554639
numeric__distinct_indi_n,-0.016014558384692557,0.9841129928554639
bool__indi_soc_renal_and_urinary_disorders,-0.01603637459351755,0.9840915234750955
categorical__reporter_country_HR,-0.016308622672668294,0.9838236429147595
categorical__occr_country_HR,-0.016308622672668294,0.9838236429147595
bool__zolpidem_as_ps,-0.01636972889111699,0.9837635270090671
categorical__reporter_country_SG,-0.016437367176361344,0.9836969891812919
numeric__ss_drug_n,-0.016548330943570687,0.9835878405134656
categorical__reporter_country_NZ,-0.016768434850743544,0.9833713728102884
categorical__occr_country_NZ,-0.016768434850743544,0.9833713728102884
categorical__reporter_country_MEXICO,-0.017252319256951455,0.982895649844219
numeric__year,-0.017321812867477686,0.9828273472500653
categorical__reporter_country_ZA,-0.018707853965467834,0.9814660517782164
categorical__rpsr_cod_HP,-0.019284180056587125,0.9809005702515599
bool__indi_soc_social_circumstances,-0.01929823964355074,0.9808867792916376
categorical__reporter_country_NETHERLANDS,-0.01939628103315131,0.9807906165027988
categorical__rept_cod_30DAY,-0.01956004109311433,0.9806300153230174
