feature,odds_ratio
categorical__reporter_country_GT,0.9964310753341724
categorical__occr_country_TN,0.9963707591799673
categorical__reporter_country_KW,0.9962832144532093
categorical__occr_country_CR,0.9961453472684272
categorical__rpsr_cod_CR|CSM,0.9961147801749688
categorical__reporter_country_JAMAICA,0.9960479269791792
categorical__occr_country_CH,0.9958900075870903
categorical__rpsr_cod_DT|HP|SDY,0.9958535355423432
categorical__occr_country_GT,0.9958470719971623
bool__multiple_zdrug,0.9957982709606837
categorical__rpsr_cod_LIT,0.9957804630566437
categorical__reporter_country_ECUADOR,0.9957513243919152
categorical__occr_country_KW,0.9957454170246574
categorical__reporter_country_AE,0.9957231680297198
categorical__reporter_country_BD,0.9956463416006758
categorical__reporter_country_NEW ZEALAND,0.9955510826110179
categorical__occr_country_VE,0.9954226388582228
categorical__reporter_country_LB,0.9953650538682888
categorical__distinct_drug_n_bucket_2,0.9953455302338862
categorical__reporter_country_EG,0.9953315593522132
categorical__occr_country_EG,0.9953315593522132
categorical__reporter_country_LT,0.9952536772343923
categorical__occr_country_LT,0.9952536772343923
categorical__rpsr_cod_SDY,0.9951264146059449
bool__indi_soc_investigations,0.9950335506490211
categorical__reporter_country_BG,0.9950221363828206
categorical__reporter_country_IR,0.9946082746908845
categorical__occr_country_IR,0.9946082746908845
categorical__reporter_country_EC,0.994559291338943
bool__zolpidem_as_suspect,0.9944409797204375
categorical__occr_country_HK,0.9944160570469862
categorical__reporter_country_HK,0.9944160570469862
categorical__rpsr_cod_CSM|FGN|OTH,0.9942629713858339
categorical__reporter_country_SA,0.9942523248630363
categorical__occr_country_SA,0.9942523248630363
categorical__rpsr_cod_HP|SDY,0.9940870086186523
categorical__rpsr_cod_FGN|LIT,0.9938830294734088
categorical__reporter_country_IL,0.9938088384777541
categorical__occr_country_SI,0.9937595183525051
categorical__reporter_country_SI,0.9937595183525051
categorical__rpsr_cod_DT|HP,0.9936661590725705
categorical__reporter_country_GREECE,0.9936226004654773
categorical__occr_country_IL,0.9929876629763146
categorical__reporter_country_PH,0.9929168309163346
categorical__occr_country_BD,0.9926100829430403
categorical__reporter_country_MY,0.9924490624951501
categorical__occr_country_PH,0.9921910911974291
categorical__occr_country_JP,0.9921352063502448
categorical__occr_country_IN,0.9917351282529456
categorical__occr_country_MY,0.991658549205478
categorical__rpsr_cod_FGN|HP|LIT|OTH,0.991153935454752
categorical__occr_country_TH,0.9911423457464
categorical__occr_country_LB,0.9911121286948453
categorical__occr_country_EC,0.991058056896978
categorical__reporter_country_TH,0.9909114432195479
categorical__occr_country_BG,0.9908466002053189
categorical__reporter_country_VENEZUELA,0.9899138314544358
categorical__reporter_country_SPAIN,0.9898275588598076
categorical__rpsr_cod_OTH,0.9891233474456917
categorical__reporter_country_POLAND,0.9889590490724397
categorical__reporter_country_SK,0.9884020706772927
categorical__occr_country_SK,0.9884020706772927
numeric__interacting_drug_n,0.988374302173681
categorical__reporter_country_ISRAEL,0.9880403316077119
categorical__reporter_country_AUSTRIA,0.9871831003868694
categorical__reporter_country_SOUTH AFRICA,0.9870700609116766
categorical__reporter_country_JP,0.9870002254408412
categorical__reporter_country_CL,0.9869667614262461
categorical__reporter_country_SWEDEN,0.9866955691494737
categorical__reporter_country_NORWAY,0.9864501706201475
categorical__occr_country_PA,0.9861831728789557
categorical__reporter_country_HU,0.9861709841618747
categorical__rpsr_cod_FGN,0.9858895051923474
categorical__reporter_country_US,0.9857272325075221
categorical__occr_country_CL,0.9854415359319443
categorical__reporter_country_PE,0.9851228333588073
categorical__occr_country_PE,0.9851228333588073
categorical__rpsr_cod_CR|FGN|HP,0.9848475973646155
categorical__reporter_country_IRELAND,0.9846576267441477
categorical__reporter_country_BELGIUM,0.9846012686795435
numeric__indi_mapped_n,0.9845958098261401
categorical__occr_country_SG,0.98447644183773
numeric__indi_n,0.9841129928554639
numeric__distinct_indi_n,0.9841129928554639
bool__indi_soc_renal_and_urinary_disorders,0.9840915234750955
categorical__reporter_country_HR,0.9838236429147595
categorical__occr_country_HR,0.9838236429147595
bool__zolpidem_as_ps,0.9837635270090671
categorical__reporter_country_SG,0.9836969891812919
numeric__ss_drug_n,0.9835878405134656
categorical__reporter_country_NZ,0.9833713728102884
categorical__occr_country_NZ,0.9833713728102884
categorical__reporter_country_MEXICO,0.982895649844219
numeric__year,0.9828273472500653
categorical__reporter_country_ZA,0.9814660517782164
categorical__rpsr_cod_HP,0.9809005702515599
bool__indi_soc_social_circumstances,0.9808867792916376
categorical__reporter_country_NETHERLANDS,0.9807906165027988
categorical__rept_cod_30DAY,0.9806300153230174
categorical__occr_country_NO,0.979937545549316
categorical__reporter_country_NO,0.979937545549316
categorical__occr_country_PL,0.9796292153526975
categorical__occr_country_ZA,0.9792659050267151
categorical__occr_country_HU,0.9792658570575324
bool__indi_soc_injury_poisoning_and_procedural_complications,0.9792018805516701
categorical__reporter_country_PL,0.978466987529867
bool__is_eszopiclone,0.9778892143702439
bool__indi_soc_ear_and_labyrinth_disorders,0.9777406980202769
categorical__reporter_country_BE,0.977228504568966
categorical__rpsr_cod_HP|OTH,0.9767889447260862
categorical__rpsr_cod_CSM|FGN,0.9762007854128326
categorical__drug_n_bucket_10-19,0.9760046937698726
categorical__reporter_country_RU,0.9758475211415091
categorical__occr_country_RU,0.9758475211415091
categorical__occr_country_BE,0.9756776104975364
categorical__occr_country_KR,0.9742927394698222
categorical__reporter_country_KR,0.9729938567633275
categorical__reporter_country_FR,0.9729095194371373
bool__indi_soc_hepatobiliary_disorders,0.9724194339852759
categorical__reporter_country_TR,0.9710191625827105
categorical__rpsr_cod_CR|HP,0.970174981082425
categorical__occr_country_SE,0.9698580804429223
categorical__reporter_country_RO,0.9690195254480071
categorical__reporter_country_ES,0.9688636451975958
categorical__occr_country_RO,0.9688451359878271
bool__indi_dizziness_vertigo,0.966263809057302
categorical__reporter_country_ITALY,0.9652131356236041
categorical__quarter_Q3,0.9651918505168027
bool__indi_soc_respiratory_thoracic_and_mediastinal_disorders,0.9649828925396724
categorical__occr_country_TR,0.9643761183838431
categorical__reporter_country_CH,0.9636128685426018
categorical__distinct_drug_n_bucket_5-9,0.963536574777845
categorical__reporter_country_GERMANY,0.9614148792932906
bool__has_start_dt,0.9613511255968932
categorical__occr_country_FR,0.9611075471308084
categorical__reporter_country_IN,0.9593279389306859
bool__indi_soc_skin_and_subcutaneous_tissue_disorders,0.9589724719591043
categorical__occr_country_DK,0.9577783746161573
categorical__distinct_drug_n_bucket_3-4,0.9574391089443385
categorical__cns_coprescription_bucket_3+,0.955430362183653
categorical__reporter_country_DK,0.9553177862439185
categorical__reporter_country_PT,0.9542380301135658
categorical__occr_country_MX,0.9539196488841782
bool__is_zolpidem,0.9533060563275385
categorical__occr_country_PT,0.9530412522056162
categorical__occr_country_ES,0.9515542874858461
numeric__indi_unmapped_n,0.9499583459944807
bool__indi_soc_congenital_familial_and_genetic_disorders,0.9489562047366749
bool__indi_soc_general_disorders_and_administration_site_conditions,0.946908842110783
categorical__reporter_country_MX,0.9465343200634243
categorical__reporter_country_SE,0.9405823059027802
numeric__zdrug_count,0.9368506597025724
categorical__reporter_country_GR,0.9360984088838102
categorical__occr_country_GR,0.9353912121773066
categorical__reporter_country_JAPAN,0.9352698381478528
categorical__reporter_country_NL,0.9257791124111747
bool__high_drug_burden_10,0.9246110409836883
categorical__occr_country_NL,0.9108701419471414
bool__indi_soc_eye_disorders,0.9067283576509527
bool__indi_depression,0.9041066599859371
bool__indi_soc_reproductive_system_and_breast_disorders,0.901592907868301
bool__has_rpsr,0.9003938865052367
categorical__age_group_65-74,0.8998257474413978
bool__indi_soc_immune_system_disorders,0.8977501014052982
categorical__drug_n_bucket_2,0.896112013315749
bool__indi_soc_metabolism_and_nutrition_disorders,0.8921005984758783
bool__polypharmacy_5,0.8908965554311955
bool__indi_soc_gastrointestinal_disorders,0.8851324446165167
bool__indi_soc_blood_and_lymphatic_system_disorders,0.8818578579181303
categorical__rpsr_cod_CSM,0.8817630031098447
categorical__occr_country_CN,0.8815132996657159
bool__indi_epilepsy,0.8813070458969305
categorical__quarter_Q4,0.880234888732957
categorical__reporter_country_CN,0.8769044477244741
bool__is_opioid,0.8586856896083125
numeric__log_distinct_drug_n,0.8467677892290507
categorical__occr_country_IT,0.8455226773727681
numeric__therapy_record_n,0.8437683094776954
categorical__sex_clean_M,0.8433413609347364
bool__indi_soc_endocrine_disorders,0.8426321181822121
bool__duration_known,0.8388482912945203
bool__indi_soc_infections_and_infestations,0.8326891742472164
categorical__cns_coprescription_bucket_0,0.8301833132333378
categorical__distinct_drug_n_bucket_10-19,0.8272929030906243
bool__indi_soc_neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,0.8257909180615982
categorical__reporter_country_IT,0.8159606417324385
categorical__e_sub_Y,0.8086871202022157
bool__is_antiepileptic,0.7421702929674677
bool__indi_pain,0.738747594008932
bool__has_end_dt,0.6780918094502576
categorical__rept_cod_PER,0.5491335623091287
