feature,odds_ratio
numeric__ss_drug_n,0.9990165934816205
categorical__reporter_country_KG,0.9990154511704983
categorical__occr_country_KG,0.9990154511704983
categorical__reporter_country_KUWAIT,0.9990014109238791
categorical__reporter_country_YUGOSLAVIA,0.9989978265759372
categorical__rpsr_cod_HP|SDY|UF,0.9989772779965818
categorical__rpsr_cod_DT|FGN|OTH,0.9989624481611108
categorical__rpsr_cod_CR|HP|LIT|UF,0.9989479974747181
categorical__rpsr_cod_DT|FGN|HP|OTH|SDY,0.9989400933948966
categorical__reporter_country_CZECH REPUBLIC,0.9989305761184428
categorical__occr_country_LS,0.9989038677015666
categorical__reporter_country_GD,0.9988808354608901
categorical__rpsr_cod_DT|OTH|SDY,0.9988588369135957
categorical__reporter_country_AFGHANISTAN,0.9988243004922766
categorical__rpsr_cod_CR|FGN|HP|UF,0.9988186959378843
categorical__reporter_country_UNITED ARAB EMIRATES,0.998799525363532
categorical__occr_country_CU,0.9987711869628888
categorical__reporter_country_CU,0.9987711869628888
categorical__drug_n_bucket_5-9,0.9987138898301404
categorical__reporter_country_NICARAGUA,0.9986677133973632
categorical__rpsr_cod_LIT|SDY,0.998547199275366
categorical__rpsr_cod_DT|FGN|HP|LIT,0.9984499440359237
categorical__reporter_country_SWEDEN,0.9984285043515232
categorical__rpsr_cod_DT|SDY,0.9984021387766636
categorical__occr_country_KP,0.9983845744685493
categorical__rpsr_cod_CR|CSM|FGN|HP|OTH,0.998367865094297
categorical__reporter_country_TT,0.9983580673763978
categorical__reporter_country_MALTA,0.9983477790457552
categorical__occr_country_UM,0.9983404203140162
categorical__reporter_country_SD,0.9983367943910643
categorical__reporter_country_ESTONIA,0.998316702105218
categorical__reporter_country_BO,0.9983130302670072
categorical__occr_country_IQ,0.9982914103988004
categorical__reporter_country_IQ,0.9982914103988004
categorical__reporter_country_UG,0.998268985342448
bool__indi_soc_pregnancy_puerperium_and_perinatal_conditions,0.998267346392257
categorical__occr_country_TT,0.99822889857391
categorical__reporter_country_UM,0.9981431101459555
categorical__rpsr_cod_DT|FGN|HP|SDY,0.9981224045953337
categorical__reporter_country_CH,0.9980697750223034
categorical__occr_country_BO,0.9980689472918012
categorical__reporter_country_CROATIA (LOCAL NAME: HRVATSKA),0.9979655227828119
categorical__occr_country_QA,0.9979242545752239
categorical__occr_country_MK,0.9979122251805511
categorical__reporter_country_MK,0.9979122251805511
categorical__occr_country_PA,0.9978997549079581
categorical__reporter_country_LK,0.9978926974826707
categorical__reporter_country_ICELAND,0.9978924699901317
categorical__rpsr_cod_FGN|HP|UF,0.9978832731819938
categorical__occr_country_SD,0.9978800398343712
categorical__rpsr_cod_OTH|UF,0.9978408928692177
categorical__reporter_country_LUXEMBOURG,0.9978239104515958
categorical__reporter_country_INDONESIA,0.9978207277765095
categorical__rpsr_cod_CSM|OTH|SDY,0.997789216477873
categorical__reporter_country_SI,0.9977691392605383
categorical__rpsr_cod_CSM|DT|OTH,0.9977551591384121
categorical__occr_country_LK,0.9976598637649142
categorical__reporter_country_EL SALVADOR,0.9975855996885578
categorical__reporter_country_OM,0.9974167932766365
categorical__occr_country_UZ,0.9973789486607109
categorical__rpsr_cod_CR|FGN|HP|LIT,0.9973250114993796
categorical__rpsr_cod_CR|CSM|FGN,0.9973053448961596
categorical__reporter_country_ME,0.9972992736843808
categorical__occr_country_NC,0.9972576513185719
categorical__occr_country_LV,0.9972305113802389
categorical__reporter_country_HONDURAS,0.9972294336767438
categorical__reporter_country_AT,0.9972293380289283
categorical__reporter_country_MOROCCO,0.9971509806163821
categorical__reporter_country_LATVIA,0.9970856258609057
categorical__occr_country_OM,0.9970823365802146
categorical__reporter_country_KZ,0.9970491800129281
categorical__occr_country_KZ,0.9970491800129281
categorical__rpsr_cod_CR|FGN|HP|LIT|OTH,0.9970365270543059
categorical__rpsr_cod_FGN|HP|LIT|OTH|SDY,0.9970040508878003
categorical__reporter_country_BOLIVIA,0.997003826885033
categorical__rpsr_cod_CR|FGN,0.9969936781547557
categorical__reporter_country_LV,0.9969863270027923
categorical__rpsr_cod_CR|HP|UF,0.9969017613225518
categorical__occr_country_ME,0.9969007490213285
categorical__reporter_country_IRAN (ISLAMIC REPUBLIC OF),0.99688190201732
categorical__reporter_country_KP,0.996868258768047
categorical__reporter_country_URUGUAY,0.9968175120273546
categorical__rpsr_cod_DT|HP|OTH|SDY,0.9967819984066301
categorical__occr_country_BB,0.9967777505999966
categorical__reporter_country_BB,0.9967777505999966
categorical__occr_country_CM,0.9967610112995485
categorical__reporter_country_QA,0.9966941291190271
categorical__occr_country_AF,0.9965959340177942
categorical__rpsr_cod_LIT|OTH,0.9965945393668876
categorical__rpsr_cod_CR,0.9965884557777985
categorical__reporter_country_NC,0.9965249470019907
categorical__reporter_country_CYPRUS,0.9964560425840435
categorical__rpsr_cod_DT|FGN,0.996409577798269
categorical__rpsr_cod_CSM|FGN|OTH|SDY,0.996385890579486
categorical__rpsr_cod_CR|FGN|OTH,0.9963677117393012
categorical__reporter_country_JO,0.996324350159435
categorical__occr_country_JO,0.9962914795877479
categorical__rpsr_cod_DT,0.9962626727425863
categorical__occr_country_GE,0.996204705027548
categorical__reporter_country_GH,0.9961936938423575
categorical__reporter_country_JAMAICA,0.9960798134824917
categorical__reporter_country_MD,0.9960580470292562
categorical__reporter_country_UKRAINE,0.9959307489212353
categorical__reporter_country_KE,0.9959219885911059
categorical__rpsr_cod_CR|CSM|FGN|HP,0.9959131177014696
categorical__rpsr_cod_DT|FGN|SDY,0.9959065352560051
categorical__occr_country_GH,0.9958992766031196
categorical__reporter_country_GE,0.9958188900007044
categorical__reporter_country_VIET NAM,0.9958067260807578
categorical__occr_country_AM,0.99580338842907
categorical__reporter_country_SERBIA,0.9957515604518088
categorical__rpsr_cod_CR|CSM|SDY,0.9956568907003318
bool__is_zaleplon,0.995554408588936
categorical__rpsr_cod_DT|HP|LIT,0.9955308134099223
categorical__rpsr_cod_CR|OTH,0.9951710216762104
categorical__reporter_country_SZ,0.9951203718552263
categorical__reporter_country_BA,0.9948730256007696
categorical__occr_country_BA,0.9948730256007696
categorical__reporter_country_AM,0.9948612021028745
categorical__rpsr_cod_CR|FGN|HP|SDY,0.9947926358316866
categorical__rpsr_cod_CR|CSM|HP|OTH,0.9946342605082602
categorical__rpsr_cod_DT|HP|OTH,0.9946127120088584
categorical__reporter_country_BANGLADESH,0.9944552880633494
categorical__rpsr_cod_CSM|DT|HP,0.9940613257502954
categorical__reporter_country_BULGARIA,0.9939945310365803
categorical__reporter_country_INDIA,0.9939841672876538
categorical__rpsr_cod_CR|FGN|HP|OTH|SDY,0.9937553152295449
categorical__reporter_country_LITHUANIA,0.9937207631227218
categorical__reporter_country_SV,0.9937118713743905
categorical__reporter_country_ALGERIA,0.9937061655054185
categorical__rpsr_cod_DT|HP|UF,0.9934670747538544
categorical__occr_country_KE,0.9934626591322573
bool__has_start_dt,0.9934158614916024
categorical__reporter_country_EGYPT,0.9932799691657868
categorical__rpsr_cod_CSM|HP|OTH|SDY,0.9932316610758369
categorical__reporter_country_SPAIN,0.9932274430515372
categorical__reporter_country_DOMINICAN REPUBLIC,0.9931153357582938
categorical__occr_country_SV,0.9927245694408533
categorical__reporter_country_BE,0.9925648346452904
categorical__rpsr_cod_HP|LIT|SDY,0.9925605849041016
categorical__reporter_country_NG,0.9924817108724745
categorical__reporter_country_DZ,0.9919869940116746
categorical__cns_coprescription_bucket_2,0.9916356121805541
categorical__occr_country_GR,0.9915397814154603
categorical__reporter_country_TUNISIA,0.9914142024253946
categorical__occr_country_DZ,0.991318092766217
categorical__rpsr_cod_FGN|LIT|OTH,0.9912803188951455
categorical__reporter_country_PANAMA,0.9910133592389971
categorical__quarter_Q4,0.9908205696441929
categorical__reporter_country_CL,0.9906361582276206
categorical__reporter_country_KW,0.9906172636283572
categorical__occr_country_NG,0.990283202255375
categorical__reporter_country_CY,0.989996359942674
categorical__occr_country_LT,0.9898252651933171
categorical__reporter_country_GUATEMALA,0.9896906836697744
categorical__occr_country_KW,0.9894678085321285
categorical__occr_country_CY,0.9892524851198924
categorical__reporter_country_LT,0.9890738195145279
bool__indi_soc_product_issues,0.9890559416508239
categorical__rpsr_cod_DT|FGN|HP|OTH,0.9890412044026741
categorical__occr_country_UY,0.9889163868855805
categorical__rpsr_cod_HP|UF,0.9885118671305653
categorical__reporter_country_LEBANON,0.988204841886845
categorical__occr_country_AE,0.987918347355457
categorical__rpsr_cod_OTH|SDY,0.9873091350082728
categorical__reporter_country_TN,0.9872218133202584
categorical__rpsr_cod_CR|HP|SDY,0.9870305500743981
categorical__reporter_country_SLOVAKIA (SLOVAK REPUBLIC),0.9867155159588004
bool__is_benzo,0.986682511368513
categorical__occr_country_IS,0.986677036220522
categorical__reporter_country_IS,0.9865309984222485
categorical__reporter_country_AE,0.9864946881830409
categorical__reporter_country_HONG KONG,0.9862963705572387
categorical__rpsr_cod_CR|FGN|HP,0.9859567136372994
categorical__occr_country_TN,0.9859237857949282
bool__is_zopiclone,0.9853417603945169
categorical__reporter_country_MA,0.9853141806853776
categorical__rpsr_cod_FGN|HP|LIT|SDY,0.9852642929479841
categorical__reporter_country_ROMANIA,0.9851117201726607
categorical__occr_country_MA,0.9850973433307646
categorical__rpsr_cod_CSM|FGN|HP|OTH,0.9848578709757501
categorical__reporter_country_MY,0.9843451411308588
categorical__reporter_country_FINLAND,0.9835255489544086
categorical__rpsr_cod_CR|HP|OTH,0.9834048922305529
categorical__reporter_country_COSTA RICA,0.9832550649690918
categorical__reporter_country_IRELAND,0.9828805097138236
categorical__distinct_drug_n_bucket_20+,0.9828764950250356
bool__very_high_drug_burden_20,0.9828764950250356
categorical__occr_country_CH,0.9821204010792823
categorical__rpsr_cod_FGN|SDY,0.9820108417710075
categorical__reporter_country_JP,0.9819870405479717
categorical__quarter_Q1,0.9819291399573211
categorical__reporter_country_COLOMBIA,0.9816256696800412
categorical__rpsr_cod_CR|FGN|HP|OTH,0.981616555772346
categorical__reporter_country_PA,0.9813734874565736
numeric__year,0.981272454394688
categorical__occr_country_UA,0.9803668725151281
bool__indi_anxiety,0.9796043111438592
categorical__occr_country_RO,0.9795157181740487
categorical__occr_country_LB,0.9791736346362723
bool__indi_soc_social_circumstances,0.979115586596561
categorical__reporter_country_PUERTO RICO,0.9786195124009757
categorical__reporter_country_THAILAND,0.9781811864746052
categorical__reporter_country_UA,0.977795283817246
categorical__reporter_country_BD,0.9775929540682216
categorical__reporter_country_PE,0.9772307937339952
categorical__rpsr_cod_LIT,0.9759419879863095
numeric__indi_unmapped_n,0.9756240088987631
categorical__reporter_country_SA,0.9756041094514456
categorical__reporter_country_VE,0.9755733635204211
categorical__occr_country_ID,0.9750105405579611
categorical__occr_country_SA,0.9748101257001074
categorical__reporter_country_UNITED KINGDOM,0.9736635218832812
categorical__reporter_country_GR,0.9733330480455853
categorical__reporter_country_POLAND,0.973147090999926
bool__indi_dizziness_vertigo,0.9731029437169366
categorical__occr_country_PE,0.9726392201901388
categorical__drug_n_bucket_3-4,0.9720379024557758
categorical__rpsr_cod_DT|FGN|HP,0.9710131437093628
categorical__reporter_country_PHILIPPINES,0.9708330240202839
categorical__reporter_country_AUSTRIA,0.9708046160669828
categorical__reporter_country_EC,0.9706919184715824
categorical__occr_country_IR,0.9703402505239218
bool__multiple_zdrug,0.9698590884212842
categorical__occr_country_VN,0.9697804422590119
categorical__occr_country_DK,0.9695158822808302
categorical__reporter_country_ID,0.969251976391641
categorical__occr_country_RS,0.9690487305764398
categorical__reporter_country_VN,0.9686757810848464
categorical__distinct_drug_n_bucket_5-9,0.9677636258489081
categorical__reporter_country_RS,0.9673252749370027
categorical__rpsr_cod_CR|CSM|HP,0.9672254484308519
categorical__reporter_country_HUNGARY,0.967006971816782
categorical__reporter_country_IR,0.966908853778044
categorical__reporter_country_GB,0.9664338099491144
categorical__reporter_country_AUSTRALIA,0.9658512726393351
categorical__rpsr_cod_DT|HP,0.9638456111927363
categorical__cns_coprescription_bucket_0,0.9634957358754823
categorical__rpsr_cod_CR|CSM,0.9627542640993735
numeric__indi_mapped_n,0.9623601869210547
numeric__indi_n,0.962114665243724
numeric__distinct_indi_n,0.962114665243724
bool__has_rpsr,0.9607415669249689
categorical__reporter_country_TURKEY,0.9600892106065293
categorical__rpsr_cod_DT|HP|SDY,0.9596313593974021
categorical__rpsr_cod_SDY,0.9588387489166839
categorical__drug_n_bucket_10-19,0.9587887702412358
categorical__reporter_country_HR,0.9576925091362332
categorical__occr_country_CL,0.9570131085146271
categorical__occr_country_HR,0.9557967189858076
categorical__reporter_country_LB,0.9557713391775264
categorical__reporter_country_BG,0.9554756921282694
categorical__reporter_country_TH,0.9550915308988882
categorical__rpsr_cod_FGN|HP|OTH,0.9544893377789841
categorical__occr_country_VE,0.9539851724900061
categorical__occr_country_BG,0.9534860723333074
categorical__reporter_country_PERU,0.952112896144963
categorical__reporter_country_NETHERLANDS,0.9513361665115477
categorical__reporter_country_ARGENTINA,0.9505960550088779
categorical__occr_country_AT,0.9499548843528224
categorical__reporter_country_NORWAY,0.9496390137574477
categorical__reporter_country_PH,0.9487937057253378
categorical__occr_country_BD,0.9482503898487966
bool__is_eszopiclone,0.9473770966954924
categorical__reporter_country_PORTUGAL,0.9464771676933559
bool__indi_soc_injury_poisoning_and_procedural_complications,0.9457623241846195
categorical__distinct_drug_n_bucket_3-4,0.9447989406138787
categorical__occr_country_HU,0.9444797135298032
categorical__age_group_65-74,0.9428694036943116
categorical__distinct_drug_n_bucket_10-19,0.9421079773542895
categorical__reporter_country_CHINA,0.9416509296463571
categorical__reporter_country_GREECE,0.9391856629887382
categorical__reporter_country_ISRAEL,0.9390329621784039
categorical__occr_country_TH,0.937653580355667
