analysis_tier,analysis,comparison,outcome_name,outcome_definition,model,model_label,term,coefficient,std_error,p_value,adjusted_reporting_odds_ratio,ci_low,ci_high,exposure_term,is_exposure_term,n_cases,n_outcome,used_covariates,optimization_success,optimization_message
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,reporter_country_CA,-0.11278906442940595,0.03518083298558556,0.0013460311094952043,0.8933390772313708,0.8338162455073699,0.9571110076213348,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,reporter_country_CN,-2.4985593144959717,0.07049772545072736,3.893609871210702e-275,0.08220334251921237,0.07159483694148333,0.09438375461143896,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,reporter_country_CO,-0.3644317216985339,0.05075918627611427,6.990491154991265e-13,0.6945912598848717,0.6288151789013864,0.7672477295337593,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,reporter_country_COUNTRY NOT SPECIFIED,-0.19756685436632632,0.037260426107642144,1.1433763338201045e-07,0.82072526972573,0.7629246957015963,0.8829049212346304,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,reporter_country_DE,-0.4775004475880074,0.03693673388041973,3.1480136930059657e-38,0.6203320079429488,0.5770103265309268,0.6669062621323909,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,reporter_country_ES,-1.4994114963515341,0.04760389640452686,9.3506544652717e-218,0.2232615117084051,0.20337302617685368,0.24509495456381894,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,reporter_country_EU,-0.9784953970968331,0.05034484154515561,3.8391041821798865e-84,0.3758762180537072,0.34055812152033216,0.41485703135675506,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,reporter_country_FR,-0.8686488494753533,0.03609898648831575,6.106967994748416e-128,0.41951799844609616,0.39086167152002105,0.45027528623052454,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,reporter_country_FRANCE,-0.37973282182593165,0.042009943363998846,1.5794145264573414e-19,0.6840441464656009,0.6299777373176758,0.7427506824386374,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,reporter_country_GB,-0.9969149851104869,0.036863934637690526,4.60456472040678e-161,0.3690161071392188,0.34329437308093613,0.39666507232869447,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
