analysis_tier,analysis,comparison,outcome_name,outcome_definition,model,model_label,term,coefficient,std_error,p_value,adjusted_reporting_odds_ratio,ci_low,ci_high,exposure_term,is_exposure_term,n_cases,n_outcome,used_covariates,optimization_success,optimization_message
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,distinct_drug_n_standardized,0.08930253757354917,0.0030619765305401722,5.392141851400302e-187,1.0934114043251144,1.0868690958129863,1.0999930936613298,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,is_benzo,0.23380662605741204,0.012557780978768912,2.27639457704871e-77,1.2634001599148008,1.2326839035552697,1.2948818099020276,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,is_antidepressant,0.5332366522109758,0.00991170226017398,0.0,1.704440070177616,1.6716481781518928,1.7378752244619176,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,is_antipsychotic,0.4681087656220924,0.01611083349745879,1.310255461651824e-185,1.596971088795279,1.5473319299367028,1.6482026959479248,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,is_opioid,0.09251139906163361,0.011259016703899855,2.0926675669358456e-16,1.0969256454120773,1.0729846220588537,1.1214008540531568,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,is_antiepileptic,0.3535822270305054,0.011698536797765039,1.1295233894641245e-200,1.424160086591809,1.3918774458126577,1.4571914778437918,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,const,-5.048586635550931,0.1782382453507867,1.7044475932469815e-176,0.006418398574947816,0.004525952724659355,0.009102136671123263,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,is_zolpidem_suspect_ps,0.9292908776024099,0.05099766854797329,3.4389728909102162e-74,2.5327125374872743,2.2917994246268614,2.7989503481918465,is_zolpidem_suspect_ps,True,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,age_group_75-84,0.4594749261568766,0.006244459369460376,0.0,1.5832424475077855,1.563983372526692,1.6027386810006912,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,age_group_>=85,0.8021385414926232,0.008065108036373695,0.0,2.2303054328408844,2.1953274606573325,2.2658407061833747,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
