feature,importance
categorical__reporter_country_A1,0.0009168056
categorical__reporter_country_IRELAND,0.0008890202
categorical__occr_country_A1,0.00086941157
categorical__occr_country_PA,0.0008661924
categorical__rpsr_cod_CR|CSM|HP,0.00086278864
categorical__occr_country_PK,0.0008627157
categorical__reporter_country_LT,0.0008610039
categorical__reporter_country_IR,0.0008571265
categorical__reporter_country_HUNGARY,0.0008525433
categorical__reporter_country_EE,0.0008510509
categorical__rpsr_cod_FGN|HP|LIT,0.00085088535
categorical__occr_country_EE,0.0008418577
categorical__occr_country_EG,0.0008417631
categorical__reporter_country_IE,0.0008352616
categorical__reporter_country_BELGIUM,0.0008279333
categorical__occr_country_SA,0.000826897
categorical__rpsr_cod_LIT,0.00082471204
categorical__occr_country_CR,0.00082081184
categorical__occr_country_LT,0.0008132535
categorical__rpsr_cod_DT|FGN|HP,0.00080505945
categorical__age_group_75-84,0.0008005845
categorical__reporter_country_RUSSIAN FEDERATION,0.00079696934
categorical__reporter_country_SA,0.0007961813
categorical__occr_country_IR,0.0007716454
categorical__rpsr_cod_CR|CSM,0.0007686395
categorical__reporter_country_RS,0.0007622733
categorical__occr_country_UA,0.00076184946
categorical__reporter_country_NZ,0.00076136115
categorical__reporter_country_THAILAND,0.0007538056
categorical__occr_country_VN,0.0007510058
categorical__quarter_Q2,0.00074966595
categorical__reporter_country_CR,0.0007493151
categorical__rpsr_cod_FGN|LIT|OTH,0.00074716634
categorical__drug_n_bucket_10-19,0.0007462516
categorical__occr_country_CL,0.00074519153
categorical__reporter_country_NEW ZEALAND,0.00074392505
categorical__reporter_country_MY,0.0007361464
categorical__rpsr_cod_DT|HP,0.00073315355
categorical__rpsr_cod_SDY,0.0007331342
categorical__reporter_country_COSTA RICA,0.0007181959
categorical__rpsr_cod_HP|OTH|SDY,0.00070666784
categorical__reporter_country_SLOVENIA,0.0007019169
categorical__occr_country_MT,0.00069288485
categorical__reporter_country_UA,0.0006828998
categorical__occr_country_TN,0.00067813764
categorical__rpsr_cod_HP|LIT|OTH,0.00067125156
categorical__rpsr_cod_FGN|LIT,0.00066710974
categorical__reporter_country_JM,0.00065818545
categorical__reporter_country_CHILE,0.00065818103
categorical__occr_country_UM,0.00064497656
categorical__reporter_country_DO,0.00064447196
categorical__reporter_country_HN,0.00064422796
categorical__reporter_country_CZECH REPUBLIC,0.0006420427
categorical__reporter_country_GUATEMALA,0.00064057595
categorical__rpsr_cod_UF,0.000639215
categorical__reporter_country_MT,0.00063663104
categorical__rpsr_cod_CSM|FGN,0.0006362545
categorical__rpsr_cod_DT|HP|SDY,0.000636197
categorical__reporter_country_GT,0.00063425524
categorical__rpsr_cod_CR|CSM|HP|OTH,0.0006151544
categorical__reporter_country_BD,0.0006110714
categorical__reporter_country_TN,0.0006072636
categorical__occr_country_HN,0.000605943
categorical__reporter_country_HONG KONG,0.00059541006
categorical__rpsr_cod_FGN|SDY,0.00058913557
categorical__rpsr_cod_CSM|FGN|SDY,0.0005699503
categorical__occr_country_SV,0.0005641285
categorical__occr_country_AE,0.00055249373
categorical__rpsr_cod_LIT|OTH,0.00055076776
categorical__reporter_country_CROATIA (LOCAL NAME: HRVATSKA),0.0005496821
