year,analysis,outcome_name,outcome_definition,conclusion,a,b,c,d,n,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,ic,ic025,ic975,ebgm,eb05,eb95,chi_square_yates,expected_a,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm
2017,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,16,233,10216,288826,299291,1.941419837938301,1.1693998845655629,3.2231155799546025,1.8809269969462812,1.170447453901968,3.0226785115785946,0.8724382241173508,0.0795103440892377,1.4926714368314606,1.7347925906142978,1.138705632503645,2.554610061070887,5.943248468259761,8.512678296373764,False,True,True,False
2018,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,126,739,13329,364242,378436,4.659277323316817,3.854188677532188,5.632538256916464,4.126249643851015,3.5082478735195397,4.853116637479749,2.017005821386378,1.7539859439581578,2.2577774529985994,3.983709314099655,3.434141037237427,4.600540208375713,303.33789228612454,30.754407614497563,True,True,True,True
2018,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,50,411,13410,364592,378463,3.307550925245532,2.464872417715952,4.438320232910843,3.0572742522254086,2.3520178985236666,3.9740028590715166,1.5796511370166697,1.1518630897413222,1.951551768898396,2.9031103475037003,2.2907603679748902,3.638145704586854,69.3920822246307,16.395420424189417,True,True,True,True
2019,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,94,674,13394,345464,359626,3.597165833144652,2.8969583453991365,4.466616529607182,3.279283556692051,2.7115330681662835,3.9659116724190375,1.6892007478343702,1.3826677772441107,1.965932840492631,3.1706956127371995,2.669285652899026,3.743756155231439,151.29447252874755,28.804324492667384,True,True,True,True
2019,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,45,331,13443,345826,359645,3.497405291627422,2.560332313798289,4.777443813829533,3.19851370087414,2.430377440789364,4.209424315326439,1.6397625903443762,1.187265336840655,2.0301991444979164,3.0130318702780943,2.3468586318736198,3.820506781884151,68.15563604153103,14.10137218646165,True,True,True,True
2020,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,93,549,13864,337509,352015,4.123893229782524,3.308048549669488,5.140944915196389,3.671366640421504,3.040163079558042,4.433621702411883,1.8489772195753928,1.5407209415738956,2.1271130888092555,3.534376482676334,2.9726784966885247,4.176797006517626,184.2192583390678,25.454580060508786,True,True,True,True
2020,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,34,257,13923,337815,352029,3.209902937529397,2.243770633678154,4.5920365984421645,2.9517012197424566,2.1512992050820148,4.049896950664728,1.5190767653183466,0.993233627405414,1.9629366231997385,2.7518707535566937,2.0634032268488847,3.610456692421145,43.57031109845349,11.537364819375677,True,True,True,True
2021,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,70,378,11989,357530,369967,5.522500563788411,4.276552082423862,7.131448860961296,4.815859850696472,3.880676381844943,5.97640818751398,2.222838741521071,1.864906968376702,2.540790678491361,4.518553230613108,3.70015512977974,5.473787106747411,213.5979523963316,14.60246995002257,True,True,True,True
2021,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,28,209,12031,357673,369941,3.982870407746496,2.6835678894590904,5.911255961592306,3.6304637772954327,2.5627462348322925,5.143024720555972,1.792784832403201,1.2088372126575866,2.277347090290881,3.2664521366769206,2.377623378165572,4.399616793542312,52.35453694467285,7.725510284072325,True,True,True,True
2022,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,100,434,11470,379404,391408,7.621645727785165,6.127513611339262,9.480106823813244,6.381637164529518,5.343119550120263,7.622006679372856,2.6255788082437594,2.3288208321774926,2.894319243133043,5.987509227514412,5.067446166853391,7.034804167363551,458.12682520669625,15.78501205902792,True,True,True,True
2022,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,30,225,11548,379056,390859,4.376584689989609,2.9887746626300684,6.408811540109828,3.979339432343772,2.841973615201795,5.571882241658909,1.921104683386937,1.358546830783791,2.3908444350672653,3.5659124916941303,2.6239862572753747,4.757124314658872,65.75301760124273,7.553593495352544,True,True,True,True
2023,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,31,341,10895,347119,358386,2.8963995160415537,2.004299514345089,4.185567125314062,2.7383662230380907,1.9538759680911704,3.837832950472117,1.41155533695986,0.8588708727785729,1.874390289377493,2.552565102009193,1.8878021523526392,3.3901203697406515,33.41856139038721,11.341045688168622,True,True,True,False
2023,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,14,206,10910,347040,358170,2.161800432488231,1.2576771367476391,3.7158830142938712,2.087867677693525,1.257236379793991,3.467280703626828,1.0080044734330331,0.1542616284211768,1.6648491035149846,1.8810746062502777,1.1992823306426466,2.8387559649506744,7.091820171699646,6.709886366809057,True,True,True,False
2024,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,94,390,11270,361043,372797,7.721439264669078,6.159615664609444,9.67927668937663,6.416035771117646,5.346398928371345,7.699671417673525,2.63114472145998,2.32461175086972,2.9078768141182403,5.998577018783759,5.049969322102958,7.082739051483621,434.0739670296464,14.753809714133965,True,True,True,True
2024,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,no_clear_signal,11,231,11353,361255,372850,1.5152487490195583,0.8273082269166545,2.77523986430349,1.491828351336851,0.8372298253128654,2.6582328562181345,0.5461251780054001,-0.4304124755958985,1.273359120416967,1.3734260294465843,0.826687124653198,2.1738093066367083,1.365759447793117,7.375856242456752,False,False,False,False
2025,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,105,412,11883,346789,359189,7.437573992053591,5.998428460744857,9.221999937030663,6.130136334092997,5.163179379959751,7.278184372292731,2.5709480397748115,2.2816690045549417,2.8335403514895803,5.779269185125453,4.9111259158169975,6.764402878068256,457.0195114638972,17.254971616614096,True,True,True,True
2025,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,30,278,11958,347037,359303,3.1317976226144024,2.147935651077564,4.566317591540846,2.9241549970350778,2.080436313281837,4.110042875187429,1.500947851889563,0.9383899992864172,1.970687603569892,2.7049099949216155,1.990415264079882,3.608499405349164,37.23465021235857,10.27629605096534,True,True,True,False
