dataset,metric,value,column,n_rows,missing_n,blank_n,missing_or_blank_rate
demo_v2_2007q2,,,caseid,13770.0,0.0,0.0,0.0
demo_v2_2007q2,,,age_years,13770.0,0.0,0.0,0.0
demo_v2_2007q2,,,age_group,13770.0,0.0,0.0,0.0
demo_v2_2007q2,,,rept_cod,13770.0,0.0,0.0,0.0
demo_v2_2007q2,,,e_sub,13770.0,0.0,0.0,0.0
demo_v2_2007q2,,,reporter_country,13770.0,0.0,0.0,0.0
demo_v2_2007q2,,,occr_country,13770.0,0.0,0.0,0.0
demo_v2_2007q2,,,event_date_known,13770.0,0.0,0.0,0.0
demo_v2_2007q3,n_rows,13871.0,,,,,
demo_v2_2007q3,unique_caseid,13871.0,,,,,
demo_v2_2007q3,duplicate_caseid_rows,0.0,,,,,
demo_v2_2007q3,,,caseid,13871.0,0.0,0.0,0.0
demo_v2_2007q3,,,age_years,13871.0,0.0,0.0,0.0
demo_v2_2007q3,,,age_group,13871.0,0.0,0.0,0.0
demo_v2_2007q3,,,rept_cod,13871.0,0.0,0.0,0.0
demo_v2_2007q3,,,e_sub,13871.0,0.0,0.0,0.0
demo_v2_2007q3,,,reporter_country,13871.0,0.0,0.0,0.0
demo_v2_2007q3,,,occr_country,13871.0,0.0,0.0,0.0
demo_v2_2007q3,,,event_date_known,13871.0,0.0,0.0,0.0
demo_v2_2007q4,n_rows,15202.0,,,,,
demo_v2_2007q4,unique_caseid,15202.0,,,,,
demo_v2_2007q4,duplicate_caseid_rows,0.0,,,,,
demo_v2_2007q4,,,caseid,15202.0,0.0,0.0,0.0
demo_v2_2007q4,,,age_years,15202.0,0.0,0.0,0.0
demo_v2_2007q4,,,age_group,15202.0,0.0,0.0,0.0
demo_v2_2007q4,,,rept_cod,15202.0,0.0,0.0,0.0
demo_v2_2007q4,,,e_sub,15202.0,0.0,0.0,0.0
demo_v2_2007q4,,,reporter_country,15202.0,0.0,0.0,0.0
demo_v2_2007q4,,,occr_country,15202.0,0.0,0.0,0.0
demo_v2_2007q4,,,event_date_known,15202.0,0.0,0.0,0.0
demo_v2_2008q1,n_rows,14946.0,,,,,
demo_v2_2008q1,unique_caseid,14946.0,,,,,
demo_v2_2008q1,duplicate_caseid_rows,0.0,,,,,
demo_v2_2008q1,,,caseid,14946.0,0.0,0.0,0.0
demo_v2_2008q1,,,age_years,14946.0,0.0,0.0,0.0
demo_v2_2008q1,,,age_group,14946.0,0.0,0.0,0.0
demo_v2_2008q1,,,rept_cod,14946.0,0.0,0.0,0.0
demo_v2_2008q1,,,e_sub,14946.0,0.0,0.0,0.0
demo_v2_2008q1,,,reporter_country,14946.0,0.0,0.0,0.0
demo_v2_2008q1,,,occr_country,14946.0,0.0,0.0,0.0
demo_v2_2008q1,,,event_date_known,14946.0,0.0,0.0,0.0
demo_v2_2008q2,n_rows,14880.0,,,,,
demo_v2_2008q2,unique_caseid,14880.0,,,,,
demo_v2_2008q2,duplicate_caseid_rows,0.0,,,,,
demo_v2_2008q2,,,caseid,14880.0,0.0,0.0,0.0
demo_v2_2008q2,,,age_years,14880.0,0.0,0.0,0.0
demo_v2_2008q2,,,age_group,14880.0,0.0,0.0,0.0
demo_v2_2008q2,,,rept_cod,14880.0,0.0,0.0,0.0
demo_v2_2008q2,,,e_sub,14880.0,0.0,0.0,0.0
demo_v2_2008q2,,,reporter_country,14880.0,0.0,0.0,0.0
demo_v2_2008q2,,,occr_country,14880.0,0.0,0.0,0.0
